,label
0,unknown
1,unknown
2,http
3,https
4,https
5,https
6,https
7,http
8,microsoft-ds
9,http
10,https
11,http
12,https
13,https
14,https
15,https
16,https
17,http
18,unknown
19,https
20,unknown
21,https
22,https
23,https
24,https
25,https
26,https
27,http
28,https
29,https
30,https
31,bctp
32,http
33,unknown
34,unknown
35,https
36,http
37,http
38,https
39,https
40,http
41,https
42,unknown
43,https
44,https
45,https
46,https
47,https
48,unknown
49,http
50,https
51,http
52,dfserver
53,https
54,unknown
55,http
56,https
57,https
58,https
59,http
60,unknown
61,unknown
62,unknown
63,unknown
64,unknown
65,https
66,https
67,https
68,http
69,https
70,unknown
71,https
72,https
73,unknown
74,http
75,https
76,http
77,https
78,https
79,http
80,microsoft-ds
81,http
82,https
83,http
84,unknown
85,easyengine
86,https
87,https
88,http
89,https
90,http
91,https
92,http
93,https
94,https
95,http
96,https
97,https
98,https
99,https
100,http
101,http
102,http
103,https
104,unknown
105,unknown
106,http
107,unknown
108,unknown
109,http
110,http
111,https
112,https
113,unknown
114,unknown
115,unknown
116,unknown
117,unknown
118,http
119,unknown
120,unknown
121,http
122,https
123,unknown
124,unknown
125,unknown
126,http
127,https
128,unknown
129,unknown
130,http
131,unknown
132,unknown
133,http
134,http
135,https
136,https
137,http
138,https
139,unknown
140,http
141,unknown
142,http
143,http
144,http
145,http
146,unknown
147,http
148,unknown
149,http
150,unknown
151,http
152,https
153,http
154,http
155,http
156,http
157,https
158,https
159,http
160,http
161,http
162,http
163,http
164,http
165,http
166,http
167,http
168,pando-pub
169,http
170,https
171,https
172,unknown
173,unknown
174,http
175,unknown
176,https
177,fyre-messanger
178,https
179,http
180,cybro-a-bus
181,unknown
182,https
183,https
184,http
185,https
186,unknown
187,unknown
188,https
189,http
190,unknown
191,https
192,https
193,http
194,unknown
195,http
196,unknown
197,unknown
198,https
199,unknown
200,unknown
201,afs3-prserver
202,unknown
203,unknown
204,https
205,http
206,unknown
207,unknown
208,unknown
209,unknown
210,https
211,http
212,https
213,unknown
214,http
215,unknown
216,opsec-sam
217,unknown
218,unknown
219,https
220,https
221,https
222,unknown
223,http
224,http
225,http
226,https
227,unknown
228,http
229,http
230,http
231,http
232,http
233,http
234,https
235,https
236,http
237,https
238,unknown
239,https
240,http
241,unknown
242,https
243,microsoft-ds
244,https
245,https
246,https
247,https
248,https
249,terabase
250,unknown
251,https
252,http
253,unknown
254,http
255,https
256,https
257,https
258,unknown
259,https
260,https
261,unknown
262,unknown
263,https
264,unknown
265,http
266,unknown
267,http
268,unknown
269,http
270,https
271,https
272,unknown
273,http
274,unknown
275,https
276,https
277,https
278,unknown
279,https
280,https
281,https
282,http
283,https
284,http
285,http
286,unknown
287,https
288,unknown
289,http-alt
290,http
291,http
292,https
293,http
294,https
