,unknown
0,51202
1,58206
2,21532
3,58879
4,62557
5,61775
6,48841
7,17405
8,28135
9,17892
10,17052
11,5651
12,19621
13,35956
14,63996
15,63159
16,55500
17,26769
18,51209
19,13884
20,9415
21,11121
22,42106
23,41160
24,57203
25,22223
26,46255
27,19519
28,60783
29,38640
30,41429
31,41868
32,51239
33,38646
34,65227
35,65309
36,41900
37,15917
38,34897
39,49331
40,6246
41,47075
42,51800
43,51237
44,61818
45,12281
46,5740
47,57215
48,8784
49,12672
50,54171
51,8933
52,28993
53,57474
54,46953
55,51258
56,60062
57,13913
58,55488
59,58257
60,8829
61,57282
62,42557
63,56626
64,57921
65,58688
66,63152
67,63135
68,61758
69,50239
70,61828
71,8797
72,10074
73,53946
74,15388
75,25548
76,51690
77,56529
78,57703
79,7233
80,51184
81,10865
82,49706
83,11539
84,4960
85,20492
86,46051
87,6247
88,6447
89,19627
90,54248
91,61823
92,24169
93,47355
94,52614
95,61833
96,53656
97,26466
98,28331
99,57212
100,8295
101,57936
102,62467
103,57039
104,44942
105,62693
106,29432
107,11032
108,52792
109,26881
110,38355
111,12347
112,49161
113,61887
114,54257
115,9308
116,57214
117,61849
118,48748
119,58562
120,0
121,40533
122,17404
123,30040
124,50178
125,4921
126,32745
127,51525
128,19776
129,11743
130,32074
131,60281
132,5644
133,51246
134,55682
135,49988
136,48752
137,28508
138,51162
139,50300
140,29220
141,63600
142,64958
143,9248
144,26916
145,61933
146,57478
147,14611
148,57423
149,4763
150,12254
151,27107
152,57850
153,59391
154,58069
155,49463
156,43838
157,49806
158,5259
159,46865
160,44312
161,63486
162,52095
163,57262
164,16412
165,51328
166,64936
167,57515
168,55505
169,12929
170,53254
171,58149
172,55645
173,42322
174,64969
175,64266
176,57835
177,58308
178,25569
179,5158
180,7561
181,54321
182,17275
183,5451
184,54262
185,51174
186,20363
187,41997
188,26335
189,45280
190,46026
191,57322
192,31027
193,57284
194,29162
195,12389
196,51165
197,58950
198,37356
199,9763
200,62875
201,61759
202,50810
203,48114
204,11422
205,36646
206,48744
207,29239
208,54183
209,30772
210,31770
211,61443
212,37068
213,44987
214,50188
215,36240
216,28055
