,PacketTotalNum,DurationTime,PacketLenMean,PayloadLenMean,TimeGapMean
0,5,1.9883670806884766,44.0,2.0,0.49709177017211914
1,5,1.9980878829956055,60.0,2.0,0.49952197074890137
2,1,0.0,143.0,101.0,0.0
3,1,0.0,329.0,287.0,0.0
4,5,257.0071430206299,145.0,103.0,64.25178575515747
5,5,257.0071680545807,331.0,289.0,64.25179201364517
6,5,71.93020582199097,162.2,120.2,17.98255145549774
7,3,85.91903305053711,302.0,260.0,42.959516525268555
8,1,0.0,145.0,103.0,0.0
9,1,0.0,331.0,289.0,0.0
10,5,125.03028893470764,145.0,103.0,31.25757223367691
11,5,254.00235986709595,331.0,289.0,63.50058996677399
12,5,256.01656794548035,145.0,103.0,64.00414198637009
13,5,256.0191259384155,331.0,289.0,64.00478148460388
14,5,318.69689202308655,162.2,120.2,79.67422300577164
15,5,318.55581307411194,218.8,176.8,79.63895326852798
16,5,50.308573961257935,92.0,50.0,12.577143490314484
17,5,1121268.8244438171,64.0,22.0,280317.2061109543
18,5,1122670.4321148396,64.0,22.0,280667.6080287099
19,5,114.22408699989319,255.4,213.4,28.556021749973297
20,1,0.0,329.0,287.0,0.0
21,5,-427.75065207481384,151.4,109.4,-106.93766301870346
22,5,-427.7505931854248,117.0,75.0,-106.9376482963562
23,1,0.0,139.0,97.0,0.0
24,1,0.0,361.0,319.0,0.0
25,5,255.98280787467957,145.0,103.0,63.99570196866989
26,5,255.98397397994995,331.0,289.0,63.99599349498749
27,5,-755.7039029598236,137.4,95.4,-188.9259757399559
28,4,-755.703910112381,382.0,340.0,-251.90130337079367
29,1,0.0,145.0,103.0,0.0
30,1,0.0,341.0,299.0,0.0
31,1,0.0,145.0,103.0,0.0
32,1,0.0,331.0,289.0,0.0
33,1,0.0,145.0,103.0,0.0
34,5,154.13680791854858,276.6,234.6,38.534201979637146
35,5,2575607.6940128803,261.2,219.2,643901.9235032201
36,1,0.0,365.0,323.0,0.0
37,1,0.0,329.0,287.0,0.0
38,5,171.74344897270203,103.0,61.0,42.93586224317551
39,5,171.73586511611938,151.0,109.0,42.933966279029846
40,1,0.0,145.0,103.0,0.0
41,2,47.63077092170715,166.5,124.5,47.63077092170715
42,2,47.63073801994324,240.5,198.5,47.63073801994324
43,1,0.0,143.0,101.0,0.0
44,1,0.0,329.0,287.0,0.0
45,5,1.7381980419158936,107.4,48.6,0.4345495104789734
46,3,-846.5500149726868,143.0,101.0,-423.2750074863434
47,3,-846.5500149726868,329.0,287.0,-423.2750074863434
48,4,9.366958141326904,64.5,0.0,3.1223193804423013
49,2,33.30567216873169,261.5,219.5,33.30567216873169
50,1,0.0,145.0,103.0,0.0
51,5,257.1094379425049,145.0,103.0,64.27735948562622
52,5,257.1089279651642,331.0,289.0,64.27723199129105
53,5,-17283.2580640316,203.4,161.4,-4320.8145160079
54,2,-350.147607088089,359.0,317.0,-350.147607088089
55,5,233.7243618965149,293.8,251.8,58.43109047412872
56,5,-191.8497850894928,145.0,103.0,-47.9624462723732
57,5,-191.84986019134521,331.0,289.0,-47.962465047836304
58,1,0.0,145.0,103.0,0.0
59,5,-366.00158882141113,78.6,36.6,-91.50039720535278
60,1,0.0,331.0,289.0,0.0
61,5,202.07282400131226,143.0,101.0,50.518206000328064
62,5,202.07328987121582,423.0,381.0,50.518322467803955
63,5,-463.00138306617737,161.0,119.0,-115.75034576654434
64,1,0.0,145.0,103.0,0.0
65,1,0.0,331.0,289.0,0.0
66,1,0.0,146.0,104.0,0.0
67,1,0.0,359.0,317.0,0.0
68,1,0.0,159.0,117.0,0.0
69,1,0.0,403.0,361.0,0.0
70,5,-378.9869439601898,78.6,36.6,-94.74673599004745
71,3,9.001031875610352,64.66666666666667,0.0,4.500515937805176
72,5,147.79086804389954,145.0,103.0,36.947717010974884
73,5,147.79108095169067,331.0,289.0,36.94777023792267
74,1,0.0,143.0,101.0,0.0
75,1,0.0,329.0,287.0,0.0
76,1,0.0,145.0,103.0,0.0
77,1,0.0,331.0,289.0,0.0
78,5,-17056.959352970123,182.2,140.2,-4264.239838242531
79,1,0.0,143.0,101.0,0.0
80,1,0.0,329.0,287.0,0.0
81,2,33.9349639415741,163.5,121.5,33.9349639415741
82,2,33.93487906455994,246.5,204.5,33.93487906455994
83,5,-17058.452659130096,180.6,138.6,-4264.613164782524
84,5,-17356.548637151718,255.4,213.4,-4339.1371592879295
85,1,0.0,143.0,101.0,0.0
86,1,0.0,329.0,287.0,0.0
87,1,0.0,143.0,101.0,0.0
88,1,0.0,329.0,287.0,0.0
89,1,0.0,145.0,103.0,0.0
90,1,0.0,331.0,289.0,0.0
91,1,0.0,143.0,101.0,0.0
92,1,0.0,423.0,381.0,0.0
93,3,92.03429198265076,161.0,119.0,46.01714599132538
94,3,92.03427290916443,331.0,289.0,46.017136454582214
95,1,0.0,140.0,98.0,0.0
96,1,0.0,335.0,293.0,0.0
97,5,1122921.5756099224,64.0,22.0,280730.3939024806
98,5,1118758.1412558556,64.0,22.0,279689.5353139639
99,1,0.0,143.0,101.0,0.0
100,1,0.0,365.0,323.0,0.0
101,5,-900.2915811538696,261.8,219.8,-225.0728952884674
102,5,-985.9403882026672,181.8,139.8,-246.4850970506668
103,1,0.0,145.0,103.0,0.0
104,1,0.0,136.0,94.0,0.0
105,2,6.720716953277588,238.0,196.0,6.720716953277588
106,1,0.0,143.0,101.0,0.0
107,1,0.0,329.0,287.0,0.0
108,1,0.0,145.0,103.0,0.0
109,1,0.0,331.0,289.0,0.0
110,2,-910.6696360111237,143.0,101.0,-910.6696360111237
111,2,-910.669615983963,329.0,287.0,-910.669615983963
112,5,-395.986191034317,78.6,36.6,-98.99654775857925
113,1,0.0,140.0,98.0,0.0
114,1,0.0,335.0,293.0,0.0
115,1,0.0,107.0,65.0,0.0
116,1,0.0,110.0,68.0,0.0
117,1,0.0,145.0,103.0,0.0
118,1,0.0,331.0,289.0,0.0
119,1,0.0,415.0,373.0,0.0
120,5,54.996947050094604,143.0,101.0,13.749236762523651
121,5,54.996763944625854,383.0,341.0,13.749190986156464
122,5,-17436.99189901352,148.4,106.4,-4359.24797475338
123,2,12.20254111289978,163.5,121.5,12.20254111289978
124,2,12.20250415802002,236.5,194.5,12.20250415802002
125,5,-870.9900000095367,343.0,301.0,-217.7475000023842
126,1,0.0,143.0,101.0,0.0
127,1,0.0,329.0,287.0,0.0
128,3,-251.54734706878662,365.0,323.0,-125.77367353439331
129,1,0.0,145.0,103.0,0.0
130,1,0.0,331.0,289.0,0.0
131,2,11.9497709274292,163.5,121.5,11.9497709274292
132,2,11.94807505607605,236.5,194.5,11.94807505607605
133,1,0.0,145.0,103.0,0.0
134,1,0.0,331.0,289.0,0.0
135,5,21.934366941452026,64.0,22.0,5.483591735363007
136,1,0.0,145.0,103.0,0.0
137,1,0.0,310.0,268.0,0.0
138,5,-266.5006380081177,143.0,101.0,-66.62515950202942
139,5,-266.50057792663574,255.4,213.4,-66.62514448165894
140,1,0.0,143.0,101.0,0.0
141,1,0.0,329.0,287.0,0.0
142,1,0.0,145.0,103.0,0.0
